num_total_tokens,num_green_tokens,num_tokens_scored,green_fraction,z_score
113,32,64,0.5,0.0
63,28,46,0.6086956521739131,1.4744195615489712
168,64,95,0.6736842105263158,3.3857285618810087
93,33,56,0.5892857142857143,1.3363062095621219
30,13,24,0.5416666666666666,0.4082482904638631
110,39,72,0.5416666666666666,0.7071067811865476
137,42,75,0.56,1.0392304845413263
836,460,666,0.6906906906906907,9.842300080310032
103,43,66,0.6515151515151515,2.4618298195866544
100,49,76,0.6447368421052632,2.523573072576179
65,26,47,0.5531914893617021,0.7293249574894728
49,20,35,0.5714285714285714,0.8451542547285166
519,208,364,0.5714285714285714,2.7255405754769875
59,18,41,0.43902439024390244,-0.7808688094430304
35,21,26,0.8076923076923077,3.1378581622109447
97,36,66,0.5454545454545454,0.7385489458759964
261,59,104,0.5673076923076923,1.3728129459672884
157,52,88,0.5909090909090909,1.7056057308448833
836,440,661,0.6656580937972768,8.518112765349333
20,5,16,0.3125,-1.5
208,69,112,0.6160714285714286,2.456769074559977
56,24,47,0.5106382978723404,0.14586499149789456
59,23,45,0.5111111111111111,0.14907119849998599
89,39,64,0.609375,1.75
150,38,71,0.5352112676056338,0.5933908290969266
88,34,56,0.6071428571428571,1.6035674514745464
205,92,166,0.5542168674698795,1.397070946271399
75,26,48,0.5416666666666666,0.5773502691896258
112,40,66,0.6060606060606061,1.7232808737106582
7203,4919,6479,0.7592221021762617,41.730733068328995
2060,1115,1625,0.6861538461538461,15.008202885294224
154,58,103,0.5631067961165048,1.2809280616135812
39,18,29,0.6206896551724138,1.299867367239363
53,28,43,0.6511627906976745,1.9824814143238607
103,29,57,0.5087719298245614,0.13245323570650439
157,47,99,0.47474747474747475,-0.502518907629606
138,39,66,0.5909090909090909,1.4770978917519928
2175,1160,1632,0.7107843137254902,17.0305377391988
145,55,114,0.4824561403508772,-0.3746343246326776
132,32,64,0.5,0.0
159,65,110,0.5909090909090909,1.9069251784911847
22,7,16,0.4375,-0.5
44,16,32,0.5,0.0
1639,985,1398,0.7045779685264664,15.298274281574296
91,38,78,0.48717948717948717,-0.22645540682891913
